sex,edu,model,b,L,U,cohort,,,,3 7 11 15 19 23 27 31 35 39 43 47 51 49 53 57 61 65 66 70 
1,0,13,1.895875,1.676506,2.115245,1930,,,,
1,1,13,1.764018,1.569307,1.958729,1930,,,,
1,2,13,1.632161,1.461196,1.803125,1930,,,,
1,3,13,1.500303,1.351733,1.648874,1930,,,,
1,4,13,1.368446,1.240207,1.496684,1930,,,,
1,5,13,1.236588,1.125483,1.347694,1930,,,,
1,6,13,1.104731,1.00588,1.203582,1930,,,,
1,7,13,0.9728737,0.8794607,1.066287,1930,,,,
1,8,13,0.8410163,0.7450575,0.9369751,1930,,,,
1,9,13,0.7091589,0.6032451,0.8150728,1930,,,,
1,10,13,0.5773015,0.4558315,0.6987716,1930,,,,
1,11,13,0.4454441,0.3046615,0.5862268,1930,,,,
1,12,13,0.3135868,0.1510687,0.4761048,1930,,,,
1,12,13,0,0,0,1930,,,,
1,13,13,-0.1053816,-0.1989391,-0.011824,1930,,,,
1,14,13,-0.2107632,-0.3039823,-0.1175441,1930,,,,
1,15,13,-0.3161448,-0.4234452,-0.2088444,1930,,,,
1,16,13,-0.4215265,-0.5527656,-0.2902873,1930,,,,
1,17,13,-0.5269081,-0.6875967,-0.3662195,1930,,,,
1,0,13,2.395525,2.136225,2.654826,1950,,,,
1,1,13,2.257783,2.027265,2.488301,1950,,,,
1,2,13,2.120041,1.917289,2.322793,1950,,,,
1,3,13,1.982299,1.805817,2.15878,1950,,,,
1,4,13,1.844556,1.692074,1.997039,1950,,,,
1,5,13,1.706814,1.574814,1.838814,1950,,,,
1,6,13,1.569072,1.452175,1.685968,1950,,,,
1,7,13,1.43133,1.321907,1.540753,1950,,,,
1,8,13,1.293587,1.182458,1.404717,1950,,,,
1,9,13,1.155845,1.034215,1.277475,1950,,,,
1,10,13,1.018103,0.8791574,1.157049,1950,,,,
1,11,13,0.8803607,0.7194707,1.041251,1950,,,,
1,12,13,0.7426185,0.5567876,0.9284495,1950,,,,
1,12,13,0,0,0,1950,,,,
1,13,13,-0.1659142,-0.2760454,-0.0557831,1950,,,,
1,14,13,-0.3318284,-0.4530508,-0.210606,1950,,,,
1,15,13,-0.4977426,-0.642982,-0.3525031,1950,,,,
1,16,13,-0.6636568,-0.8406532,-0.4866603,1950,,,,
1,17,13,-0.8295709,-1.042631,-0.6165108,1950,,,,
2,0,9,2.15807,1.973457,2.342684,1930,,,,
2,1,9,2.001201,1.836303,2.166099,1930,,,,
2,2,9,1.844332,1.698464,1.990199,1930,,,,
2,3,9,1.687462,1.559635,1.815289,1930,,,,
2,4,9,1.530593,1.419333,1.641853,1930,,,,
2,5,9,1.373723,1.276799,1.470648,1930,,,,
2,6,9,1.216854,1.130909,1.302799,1930,,,,
2,7,9,1.059985,0.9802641,1.139705,1930,,,,
2,8,9,0.9031154,0.8237381,0.9824927,1930,,,,
2,9,9,0.746246,0.6612595,0.8312325,1930,,,,
2,10,9,0.5893766,0.4938714,0.6848818,1930,,,,
2,11,9,0.4325073,0.3229794,0.5420351,1930,,,,
2,12,9,0.2756379,0.1497488,0.4015269,1930,,,,
2,12,9,0,0,0,1930,,,,
2,13,9,-0.1568699,-0.2298061,-0.0839336,1930,,,,
2,14,9,-0.3137392,-0.3944365,-0.2330419,1930,,,,
2,15,9,-0.4706086,-0.5637804,-0.3774368,1930,,,,
2,16,9,-0.627478,-0.7362277,-0.5187282,1930,,,,
2,16,9,-0.4151232,-0.5966011,-0.2336453,1930,,,,
2,17,9,-0.5719926,-0.7538627,-0.3901224,1930,,,,
2,0,13,2.380455,2.110978,2.649932,1950,,,,
2,1,13,2.234495,1.993321,2.47567,1950,,,,
2,2,13,2.088535,1.874957,2.302113,1950,,,,
2,3,13,1.942575,1.755576,2.129575,1950,,,,
2,4,13,1.796616,1.634673,1.958558,1950,,,,
2,5,13,1.650656,1.511427,1.789884,1950,,,,
2,6,13,1.504696,1.384501,1.624891,1950,,,,
2,7,13,1.358736,1.251909,1.465563,1950,,,,
2,8,13,1.212776,1.111385,1.314167,1950,,,,
2,9,13,1.066816,0.9616911,1.171941,1950,,,,
2,10,13,0.9208562,0.803701,1.038011,1950,,,,
2,11,13,0.7748963,0.6396101,0.9101824,1950,,,,
2,12,13,0.6289364,0.4715123,0.7863604,1950,,,,
2,12,13,0,0,0,1950,,,,
2,13,13,-0.1577316,-0.2533467,-0.0621166,1950,,,,
2,14,13,-0.3154634,-0.425533,-0.2053939,1950,,,,
2,15,13,-0.4731952,-0.6130749,-0.3333155,1950,,,,
2,16,13,-0.630927,-0.8083962,-0.4534578,1950,,,,
2,17,13,-0.7886588,-1.007525,-0.5697929,1950,,,,
