race,edu,model,b,L,U,,,,,,,,,
1,0,13,2.348513,2.100741,2.596284,,,,,,,,,3 7 11 15 19 23 27 31 35 39 43 47 51 49 53 57 61 62 66 70
1,1,13,2.172213,1.95057,2.393856,,,1,1.350741,0.5780362,2.123446,,,
1,2,13,1.995914,1.800011,2.191816,,,2,1.65476,1.463161,1.846358,,,
1,3,13,1.819614,1.648889,1.990339,,,3,1.238179,0.5238817,1.952477,,,
1,4,13,1.643315,1.496913,1.789716,,,4,1.570383,1.401466,1.7393,,,
1,5,13,1.467015,1.343578,1.590452,,,5,1.125617,0.4693913,1.781844,,,
1,6,13,1.290716,1.187967,1.393464,,,6,1.486006,1.337874,1.634138,,,
1,7,13,1.114416,1.028423,1.200409,,,7,1.013056,0.4144673,1.611644,,,
1,8,13,0.9381165,0.8622919,1.013941,,,8,1.401629,1.271474,1.531785,,,
1,9,13,0.761817,0.6868434,0.8367906,,,9,0.900494,0.3589711,1.442017,,,
1,10,13,0.5855175,0.5017929,0.669242,,,10,1.317252,1.200954,1.433551,,,
1,11,13,0.409218,0.3096408,0.5087952,,,11,0.7879322,0.3027007,1.273164,,,
1,12,13,0.2329185,0.1131749,0.352662,,,12,1.232876,1.12472,1.341031,,,
1,12,13,0,0,0,,,13,0.6753705,0.2453522,1.105389,,,
1,13,13,-0.1303473,-0.1839756,-0.0767189,,,14,1.148499,1.04146,1.255537,,,
1,14,13,-0.2606943,-0.3182916,-0.203097,,,15,0.5628088,0.1864506,0.9391669,,,
1,15,13,-0.3910413,-0.4608373,-0.3212453,,,16,1.064122,0.9509665,1.177278,,,
1,16,13,-0.5213883,-0.6082106,-0.4345661,,,17,0.450247,0.1252259,0.7752681,,,
1,17,13,-0.6517354,-0.7581182,-0.5453525,,,18,0.9797452,0.8542922,1.105198,,,
2,0,8,2.038649,1.800274,2.277025,,,19,0.3376853,0.0603847,0.6149858,,,
2,1,8,1.891966,1.678902,2.105031,,,20,0.8953684,0.7530303,1.037706,,,
2,2,8,1.745283,1.556784,1.933782,,,21,0.2251235,-0.0102825,0.4605296,,,
2,3,8,1.5986,1.433588,1.763612,,,22,0.8109916,0.6486058,0.9733773,,,
2,4,8,1.451917,1.308782,1.595052,,,23,0.1125618,-0.0904161,0.3155397,,,
2,5,8,1.305234,1.181508,1.42896,,,24,0.7266148,0.5420464,0.9111832,,,
2,6,8,1.158551,1.05043,1.266672,,,25,7.42E-08,-0.1747748,0.1747749,,,
2,7,8,1.011868,0.9137158,1.11002,,,26,0.6422379,0.4340332,0.8504427,,,
2,8,8,0.8651848,0.7695855,0.9607842,,,27,-0.1125617,-0.2984616,0.0733383,,,
2,9,8,0.7185018,0.6174755,0.819528,,,28,0.5578611,0.3250086,0.7907136,,,
2,10,8,0.5718187,0.4585269,0.6851105,,,29,-0.2251234,-0.430388,-0.0198588,,,
2,11,8,0.4251356,0.2946541,0.5556171,,,30,0.4734843,0.2152621,0.7317065,,,
2,12,8,0.2784525,0.1275304,0.4293746,,,31,-0.3376851,-0.5763729,-0.0989973,,,
2,12,8,0,0,0,,,32,0.3891075,0.1049869,0.673228,,,
2,13,8,-0.1466828,-0.2890655,-0.0043,,,33,-0.4502469,-0.7314475,-0.1690463,,,
2,14,8,-0.2933659,-0.4461739,-0.1405578,,,34,0.3047307,-0.0056846,0.6151459,,,
2,15,8,-0.440049,-0.6073493,-0.2727486,,,35,-0.5628086,-0.8921097,-0.2335075,,,
2,15,8,-0.7166744,-0.9115704,-0.5217784,,,36,0.2203538,-0.1166597,0.5573674,,,
2,16,8,-0.8633575,-1.06246,-0.664255,,,37,0.4400495,,,,,
2,17,8,-1.010041,-1.217069,-0.8030121,,,38,0.1634241,,,,,
3,0,13,1.65476,1.463161,1.846358,,,39,0.7185018,,,,,
3,1,13,1.570383,1.401466,1.7393,,,40,0.4418763,,,,,
3,2,13,1.486006,1.337874,1.634138,,,41,0.2933664,,,,,
3,3,13,1.401629,1.271474,1.531785,,,42,0.016741,,,,,
3,4,13,1.317252,1.200954,1.433551,,,43,0.5718187,,,,,
3,5,13,1.232876,1.12472,1.341031,,,44,0.2951932,,,,,
3,6,13,1.148499,1.04146,1.255537,,,45,0.1466834,,,,,
3,7,13,1.064122,0.9509665,1.177278,,,46,-0.1299421,,,,,
3,8,13,0.9797452,0.8542922,1.105198,,,47,0.4251356,,,,,
3,9,13,0.8953684,0.7530303,1.037706,,,48,0.1485101,,,,,
3,10,13,0.8109916,0.6486058,0.9733773,,,49,2.85E-07,,,,,
3,11,13,0.7266148,0.5420464,0.9111832,,,50,-0.2766252,,,,,
3,12,13,0.6422379,0.4340332,0.8504427,,,51,0.2784525,,,,,
3,12,13,0,0,0,,,52,0.0018271,,,,,
3,13,13,-0.1125617,-0.2984616,0.0733383,,,53,-0.1466828,,,,,
3,14,13,-0.2251234,-0.430388,-0.0198588,,,54,-0.4233082,,,,,
3,15,13,-0.3376851,-0.5763729,-0.0989973,,,55,0.1317694,,,,,
3,16,13,-0.4502469,-0.7314475,-0.1690463,,,56,-0.144856,,,,,
3,17,13,-0.5628086,-0.8921097,-0.2335075,,,57,-0.2933659,,,,,
,,,,,,,,58,-0.5699913,,,,,
,,,,,,,,59,-0.0149137,,,,,
,,,,,,,,60,-0.2915391,,,,,
,,,,,,,,61,-0.440049,,,,,
,,,,,,,,62,-0.7166744,,,,,
,,,,,,,,63,-0.1615967,,,,,
,,,,,,,,64,-0.4382222,,,,,
,,,,,,,,65,-0.586732,,,,,
,,,,,,,,66,-0.8633575,,,,,
,,,,,,,,67,-0.3082798,,,,,
,,,,,,,,68,-0.5849053,,,,,
,,,,,,,,69,-0.7334151,,,,,
,,,,,,,,70,-1.010041,,,,,
,,,,,,,,71,-0.4549629,,,,,
,,,,,,,,72,-0.7315883,,,,,
