age,dem,form,fform
0,1.966106,1,con
1,1.787369,1,con
2,1.608632,1,con
3,1.429895,1,con
4,1.251158,1,con
5,1.072421,1,con
6,0.8936845,1,con
7,0.7149476,1,con
8,0.5362107,1,con
9,0.3574738,1,con
10,0.1787369,1,con
11,5.37E-08,1,con
12,-0.1787368,1,con
12,-0.1787368,1,con
13,-0.3574737,1,con
14,-0.5362106,1,con
15,-0.7149475,1,con
16,-0.8936844,1,con
17,-1.072421,1,con
0,1.089722,2,step
1,1.089722,2,step
2,1.089722,2,step
3,1.089722,2,step
4,1.089722,2,step
5,1.089722,2,step
6,1.089722,2,step
7,1.089722,2,step
8,1.089722,2,step
9,1.089722,2,step
10,1.089722,2,step
11,1.089722,2,step
12,1.089722,2,step
12,0,2,step
13,0,2,step
14,0,2,step
15,0,2,step
15,-0.2869404,2,step
16,-0.2869404,2,step
16,-0.6761091,2,step
17,-0.6761091,2,step
0,2.072323,3,comb
1,1.947546,3,comb
2,1.822768,3,comb
3,1.697991,3,comb
4,1.573214,3,comb
5,1.448437,3,comb
6,1.323659,3,comb
7,1.198882,3,comb
8,1.074105,3,comb
9,0.9493273,3,comb
10,0.82455,3,comb
11,0.6997727,3,comb
12,0.5749954,3,comb
12,0,3,comb
13,-0.1247771,3,comb
14,-0.2495544,3,comb
15,-0.3743317,3,comb
16,-0.499109,3,comb
16,-0.5760898,3,comb
17,-0.7008671,3,comb
