child,educ,wealth,dle,dfle,female,sd_dle,sd_dfle,,,,,,,,,,
3,,,1.82,14.85,1,0.16,0.42,,,,,,,,,,
2,,,1.24,15.02,1,0.09,0.30,,,,,,,,,,
1,,,0.98,16.67,1,0.07,0.28,,,,,,,,,,
0,,,0.86,17.56,1,0.08,0.26,,,,,,,,,,
3,,,2.66,16.54,2,0.19,0.36,,,,,,,,,,
2,,,1.92,17.77,2,0.12,0.39,,,,,,,,,,
1,,,1.71,19.10,2,0.14,0.35,,,,,,,,,,
0,,,1.52,19.96,2,0.11,0.25,,,,,,,,,,
,1,,2.07,13.41,1,0.12,0.25,,,,,,,,,,
,2,,0.82,16.40,1,0.07,0.25,,,,,,,,,,
,3,,0.70,16.62,1,0.10,0.35,,,,,,,,,,
,4,,0.63,19.75,1,0.11,0.41,,,,,,,,,,
,1,,2.72,15.92,2,0.15,0.26,,,,,,,,,,
,2,,1.62,18.88,2,0.10,0.22,,,,,,,,,,
,3,,1.43,20.36,2,0.17,0.35,,,,,,,,,,
,4,,1.04,21.30,2,0.17,0.54,,,,,,,,,,
,,1,1.54,13.51,1,0.15,0.45,,,,,,,,,,
,,2,1.28,14.75,1,0.08,0.29,,,,,,,,,,
,,3,1.06,16.32,1,0.11,0.28,,,,,,,,,,
,,4,0.95,18.09,1,0.10,0.31,,,,,,,,,,
,,1,2.10,17.48,2,0.16,0.34,,,,,,,,,,
,,2,1.91,17.80,2,0.12,0.28,,,,,,,,,,
,,3,1.91,19.25,2,0.15,0.33,,,,,,,,,,
,,4,1.29,20.05,2,0.14,0.34,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
